iter	RMSE
0	3.857830462
1	3.851277447
2	3.844884656
3	3.838764611
4	3.833068233
5	3.827575115
6	3.822359305
7	3.817269805
8	3.812360205
9	3.807694144
10	3.803195632
11	3.798989047
12	3.79498668
13	3.791070539
14	3.787318945
15	3.78376592
16	3.780335032
17	3.777090911
18	3.773975594
19	3.771003631
20	3.768064688
21	3.765273586
22	3.762631744
23	3.760146247
24	3.757713327
25	3.755413012
26	3.753091171
27	3.750870712
28	3.748699527
29	3.746633661
30	3.74469041
31	3.742646512
32	3.740776445
33	3.738896321
34	3.73722298
35	3.735567882
36	3.734004614
37	3.732364173
38	3.730982772
39	3.72949587
40	3.728232342
41	3.726898222
42	3.725630395
43	3.72421377
44	3.723038722
45	3.721820291
46	3.720780528
47	3.719756613
48	3.7185442
49	3.717537284
50	3.716460224
51	3.715594606
52	3.714570363
53	3.71355784
54	3.712646957
55	3.711897457
56	3.710998177
57	3.710229958
58	3.709501303
59	3.7087069
60	3.707795439
61	3.707041892
62	3.706358255
63	3.705633257
64	3.704904802
65	3.704219789
66	3.703589784
67	3.702927003
68	3.702356968
69	3.701693352
70	3.701043871
71	3.700441224
72	3.69984487
73	3.699223341
74	3.698627282
75	3.698017354
76	3.697517532
77	3.696944695
78	3.696346793
79	3.695852405
80	3.695268479
81	3.69478084
82	3.694281687
83	3.693860279
84	3.693384644
85	3.692819663
86	3.692332193
87	3.691987673
88	3.691441575
89	3.69101516
90	3.690657456
91	3.690271003
92	3.689911624
93	3.689377668
94	3.689089458
95	3.688706046
96	3.688134553
97	3.687874485
98	3.687461594
99	3.687001909
100	3.686685634
101	3.686267305
102	3.685815861
103	3.685556123
104	3.685301673
105	3.684808025
106	3.684522542
107	3.684071872
108	3.683802382
109	3.68358559
110	3.683203951
111	3.682910318
112	3.682600114
113	3.682153531
114	3.681908974
115	3.681472932
116	3.681169895
117	3.680770461
118	3.680553738
119	3.680159427
120	3.679863697
121	3.679553359
122	3.679277729
123	3.679050163
124	3.678760402
125	3.678638136
126	3.678376037
127	3.678097474
128	3.677852153
129	3.677489335
130	3.677203779
131	3.676975096
132	3.676795009
133	3.676452621
134	3.676218571
135	3.676009869
136	3.675758594
137	3.675526232
138	3.67533766
139	3.675149449
140	3.674889205
141	3.674528941
142	3.674297615
143	3.674103657
144	3.673906842
145	3.673612961
146	3.673307666
147	3.673136809
148	3.672690685
