iter	Passed	Remaining
0	47	33180
1	87	30570
2	127	29665
3	167	29118
4	207	28857
5	247	28594
6	285	28297
7	325	28143
8	363	27910
9	405	27952
10	443	27758
11	483	27743
12	522	27595
13	563	27604
14	602	27496
15	640	27369
16	680	27321
17	721	27345
18	763	27364
19	804	27360
20	849	27463
21	889	27402
22	931	27419
23	974	27444
24	1013	27363
25	1049	27197
26	1084	27032
27	1121	26922
28	1159	26826
29	1199	26783
30	1237	26713
31	1277	26661
32	1316	26619
33	1355	26546
34	1395	26521
35	1434	26462
36	1471	26364
37	1508	26278
38	1546	26205
39	1584	26141
40	1624	26107
41	1664	26071
42	1702	26013
43	1743	25995
44	1781	25924
45	1824	25943
46	1862	25879
47	1903	25857
48	1944	25829
49	1983	25788
50	2024	25760
51	2065	25737
52	2106	25715
53	2144	25653
54	2185	25625
55	2224	25585
56	2261	25512
57	2302	25484
58	2340	25424
59	2376	25345
60	2415	25303
61	2449	25210
62	2487	25147
63	2527	25115
64	2568	25093
65	2607	25048
66	2647	25017
67	2690	25008
68	2729	24960
69	2769	24927
70	2802	24829
71	2842	24791
72	2883	24767
73	2920	24703
74	2960	24666
75	2998	24617
76	3037	24572
77	3076	24533
78	3117	24505
79	3157	24474
80	3199	24448
81	3240	24421
82	3276	24355
83	3313	24297
84	3351	24248
85	3389	24201
86	3431	24177
87	3467	24117
88	3502	24043
89	3538	23982
90	3575	23931
91	3612	23874
92	3644	23787
93	3680	23724
94	3718	23679
95	3753	23615
96	3789	23556
97	3828	23517
98	3866	23469
99	3900	23401
100	3934	23337
101	3970	23277
102	4006	23220
103	4041	23159
104	4074	23089
105	4109	23026
106	4143	22963
107	4174	22884
108	4206	22808
109	4237	22728
110	4272	22672
111	4305	22606
112	4342	22559
113	4378	22506
114	4410	22435
115	4446	22385
116	4483	22340
117	4517	22279
118	4551	22219
119	4591	22193
120	4621	22115
121	4654	22050
122	4691	22006
123	4727	21958
124	4760	21899
125	4794	21842
126	4827	21779
127	4862	21728
128	4901	21695
129	4938	21653
130	4968	21580
131	4999	21512
132	5031	21452
133	5063	21387
134	5100	21344
135	5135	21296
136	5167	21235
137	5203	21189
138	5235	21131
139	5268	21075
140	5304	21030
141	5346	21008
142	5383	20968
143	5422	20935
144	5455	20883
145	5486	20817
146	5522	20774
147	5554	20716
148	5583	20649
149	5618	20602
150	5651	20546
151	5685	20498
152	5713	20427
153	5750	20386
154	5788	20352
155	5826	20318
156	5857	20257
157	5892	20212
158	5931	20182
159	5968	20143
160	5997	20078
161	6031	20030
162	6063	19974
163	6098	19931
164	6130	19878
165	6163	19828
166	6195	19773
167	6229	19726
168	6262	19676
169	6296	19629
170	6324	19563
171	6357	19516
172	6391	19468
173	6418	19403
174	6452	19358
175	6488	19319
176	6522	19272
177	6558	19233
178	6585	19168
179	6618	19119
180	6648	19064
181	6684	19025
182	6715	18972
183	6745	18915
184	6780	18874
185	6809	18817
186	6840	18764
187	6875	18723
188	6906	18672
189	6943	18639
190	6976	18591
191	7008	18543
192	7044	18506
193	7077	18459
